Volcano,Latitude,Longitude,Eruption,"Plume style (W, D and S denote weak, distorted and strong plumes respectively, cf Section 3)",Date start (UTC),Vent altitude (m a.s.l.),Plume height (km a.v.l.),Plume height uncertainty (km),Erupted tephra mass (kg),Erupted mass uncertainty (kg),Duration (hrs),Duration uncertainty (hrs),H2O content (wt.%),H2O content uncertainty (wt.%),Brunt-Väisälä frequency (s-1),Average wind speed (m.s-1),Average wind shear (s-1),Near-vent atmospheric temperature (K),Near-vent atmospheric pressure (hPa),Near-vent atmospheric relative humidity (%),Near-vent atmospheric specific humidity (g/kg),References,Comments
"Oddsson, B., Gudmundsson, M.T., Larsen, G., Karlsdóttir, S., 2012. Monitoring of the plume from the basaltic phreatomagmatic 2004 Grímsvötn eruption-application of weather radar and comparison with plume models. Bull. Volcanol. 74 (6), 1395–1407. http://dx.doi.org/10.1007/s00445-012-0598-9.",,,,,,,,,,,,,,,,,,,,,,,
"Pallister, J.S., Trusdell, F.A., Brownfield, I.K., Siems, D.F., Budahn, J.R., Sutley, S.F., 2005. The 2003 phreatomagmatic eruptions of Anatahan volcano-textural and petrologic features of deposits at an emergent island volcano. J. Volcanol. Geotherm. Res. 146 (1), 208–225. http://dx.doi.org/10.1016/j.jvolgeores.2004.11.036.",,,,,,,,,,,,,,,,,,,,,,,
"Petersen, G., Bjornsson, H., Arason, P., Löwis, S. v., 2012. Two weather radar time series of the altitude of the volcanic plume during the May 2011 eruption of Grímsvötn, Iceland. Earth Syst. Sci. Data 4 (1), 121–127. http://dx.doi.org/10.5194/essd-4-121-2012.",,,,,,,,,,,,,,,,,,,,,,,
"Pistolesi, M., Cioni, R., Bonadonna, C., Elissondo, M., Baumann, V., Bertagnini, A., Chiari, L., Gonzales, R., Rosi, M., Francalanci, L., 2015. Complex dynamics of small-moderate volcanic events: the example of the 2011 rhyolitic Cordón Caulle eruption, Chile. Bull. Volcanol. 77 (1), 3. http://dx.doi.org/10.1007/s00445-014-0898-3.",,,,,,,,,,,,,,,,,,,,,,,
"Portnyagin, M.V., Hoernle, K., Mironov, N.L., 2014. Contrasting compositional trends of rocks and olivine-hosted melt inclusions from Cerro Negro volcano (Central America): implications for decompression-driven fractionation of hydrous magmas. Int. J. Earth Sci. 103 (7), 1963–1982. http://dx.doi.org/10.1007/s00531-012-0810-3.",,,,,,,,,,,,,,,,,,,,,,,
"Prata, A., Siems, S., Manton, M., 2015. Quantification of volcanic cloud top heights and thicknesses using A-train observations for the 2008 Chaitén eruption. J. Geophys. Res. Atmos. 120 (7), 2928–2950. http://dx.doi.org/10.1002/2014JD022399.",,,,,,,,,,,,,,,,,,,,,,,
"Reckziegel, F., Bustos, E., Mingari, L., Báez, W., Villarosa, G., Folch, A., Collini, E., Viramonte, J., Romero, J., Osores, S., 2016. Forecasting volcanic ash dispersal and coeval resuspension during the April–May 2015 Calbuco eruption. J. Volcanol. Geotherm. Res. 321, 44–57. http://dx.doi.org/10.1016/j.jvolgeores.2016.04.033.",,,,,,,,,,,,,,,,,,,,,,,
"Ridolfi, F., Puerini, M., Renzulli, A., Menna, M., Toulkeridis, T., 2008. The magmatic feeding system of El Reventador volcano (Sub-Andean zone, Ecuador) constrained by texture, mineralogy and thermobarometry of the 2002 erupted products. J. Volcanol. Geotherm. Res. 176 (1), 94–106. http://dx.doi.org/10.1016/j.jvolgeores.2008.03.003.",,,,,,,,,,,,,,,,,,,,,,,
"Roggensack, K., Hervig, R.L.,McKnight, S.B.,Williams, S.N., 1997. Explosive basaltic volcanism from Cerro Negro volcano: influence of volatiles on eruptive style. Science 277 (5332), 1639–1642. http://dx.doi.org/10.1126/science.277.5332.1639.",,,,,,,,,,,,,,,,,,,,,,,
"Romero, J., Keller, W., Diaz-Alvarado, J., Polacci, M., Inostroza, M., 2016a. The 3 March 2015 eruption of Villarrica volcano, Southern Andes of Chile: overview of deposits and impacts. http://dx.doi.org/10.13140/RG.2.1.3575.1286.",,,,,,,,,,,,,,,,,,,,,,,
"Romero, J., Morgavi, D., Arzilli, F., Daga, R., Caselli, A., Reckziegel, F., Viramonte, J., Díaz-Alvarado, J., Polacci, M., Burton, M., et al. 2016b. Eruption dynamics of the 22–23 April 2015 Calbuco volcano (Southern Chile): analyses of tephra fall deposits. J. Volcanol. Geotherm. Res. 317, 15–29. http://dx.doi.org/10.1016/j.jvolgeores.2016.02.027.",,,,,,,,,,,,,,,,,,,,,,,
"Rose,W., Bonis, S., Stoiber, R., Keller, M., Bickford, T., 1973. Studies of volcanic ash from two recent Central American eruptions. Bull. Volcanol. 37 (3), 338–364. http://dx.doi.org/10.1007/BF02597633.",,,,,,,,,,,,,,,,,,,,,,,
"Rose, W., Gu, Y., Watson, I., Yu, T., Blut, G., Prata, A., Krueger, A., Krotkov, N., Carn, S., Fromm, M., et al. 2003. The February–March 2000 eruption of Hekla, Iceland from a satellite perspective. Volcanism and the Earth’s Atmosphere, pp. 107–132. http://dx.doi.org/10.1029/139GM07.",,,,,,,,,,,,,,,,,,,,,,,
"Rose, W., Self, S., Murrow, P., Bonadonna, C., Durant, A., Ernst, G., 2008. Nature and significance of small volume fall deposits at composite volcanoes: insights from the October 14, 1974 Fuego eruption, Guatemala. Bull. Volcanol. 70 (9), 1043–1067. http://dx.doi.org/10.1007/s00445-007-0187-5.",,,,,,,,,,,,,,,,,,,,,,,
"Rose, W.I., Anderson, A.T., Woodruff, L.G., Bonis, S.B., 1978. The October 1974 basaltic tephra from Fuego volcano: description and history of the magma body. J. Volcanol. Geotherm. Res. 4 (1), 3–53. http://dx.doi.org/10.1016/0377-0273(78)90027-6.",,,,,,,,,,,,,,,,,,,,,,,
"Ruprecht, P., Bachmann, O., 2010. Pre-eruptive reheating during magma mixing at Quizapu volcano and the implications for the explosiveness of silicic arc volcanoes. Geology 38 (10), 919–922. http://dx.doi.org/10.1130/G31110.1.",,,,,,,,,,,,,,,,,,,,,,,
"Rybin, A., Chibisova, M., Webley, P., Steensen, T., Izbekov, P., Neal, C., Realmuto, V., 2011. Satellite and ground observations of the June 2009 eruption of Sarychev Peak volcano, Matua Island, Central Kuriles. Bull. Volcanol. 73 (9), 1377–1392. http://dx.doi.org/10.1007/s00445-011-0481-0.",,,,,,,,,,,,,,,,,,,,,,,
"Rybin, A., Degterev, A., Ganzey, K., Chibisova, M., Razjigaeva, N., 2012. The Eruptions of Sarychev Peak Volcano, Kurile Arc: Particularities of Activity and Influence on the Environment. INTECH Open Access Publisher.",,,,,,,,,,,,,,,,,,,,,,,
"Sadofsky, S., Portnyagin,M., Hoernle, K., van den Bogaard, P., 2008. Subduction cycling of volatiles and trace elements through the Central American volcanic arc: evidence from melt inclusions. Contrib. Mineral. Petrol. 155 (4), 433–456. http://dx.doi.org/10.1007/s00410-007-0251-3.",,,,,,,,,,,,,,,,,,,,,,,
"Saito, G., Morishita, Y., Shinohara, H., 2010. Magma plumbing system of the 2000 eruption of Miyakejima volcano, Japan, deduced from volatile and major component contents of olivine-hosted melt inclusions. J. Geophys. Res. Solid Earth 115 (B11). http://dx.doi.org/10.1029/2010JB007433.",,,,,,,,,,,,,,,,,,,,,,,
"Samaniego, P., Eissen, J., Le Pennec, J., Robin, C., Hall, M., Mothes, P., Chavrit, D., Cotten, J., 2008. Pre-eruptive physical conditions of El Reventador volcano (Ecuador) inferred from the petrology of the 2002 and 2004–05 eruptions. J. Volcanol. Geotherm. Res. 176 (1), 82–93. http://dx.doi.org/10.1016/j.jvolgeores.2008.03.004.",,,,,,,,,,,,,,,,,,,,,,,
"Scaillet, B., Evans, B.W., 1999. The 15 June 1991 eruption of Mount Pinatubo. I. Phase equilibria and pre-eruption P–T–fO2–fH2O conditions of the dacite magma. J. Petrol. 40 (3), 381–411. http://dx.doi.org/10.1093/petroj/40.3.381.",,,,,,,,,,,,,,,,,,,,,,,
"Scasso, R.A., Corbella, H., Tiberi, P., 1994. Sedimentological analysis of the tephra from the 12–15 August 1991 eruption of Hudson volcano. Bull. Volcanol. 56 (2), 121–132. http://dx.doi.org/10.1007/BF00304107.",,,,,,,,,,,,,,,,,,,,,,,
"Schneider, D.J., Rose, W.I., Coke, L.R., Bluth, G.J., Sprod, I.E., Krueger, A.J., 1999. Early evolution of a stratospheric volcanic eruption cloud as observed with TOMS and AVHRR. J. Geophys. Res. Atmos. 104 (D4), 4037–4050. http://dx.doi.org/10.1029/1998JD200073.",,,,,,,,,,,,,,,,,,,,,,,
"Scollo, S., Del Carlo, P., Coltelli, M., 2007. Tephra fallout of 2001 Etna flank eruption: analysis of the deposit and plume dispersion. J. Volcanol. Geotherm. Res. 160 (1), 147–164. http://dx.doi.org/10.1016/j.jvolgeores.2006.09.007.",,,,,,,,,,,,,,,,,,,,,,,
"Scott, W., McGimsey, R., 1994. Character, mass, distribution, and origin of tephra-fall deposits of the 1989–1990 eruption of Redoubt Volcano, south-central Alaska. J. Volcanol. Geotherm. Res. 62 (1–4), 251–272. http://dx.doi.org/10.1016/0377-0273(94)90036-1.",,,,,,,,,,,,,,,,,,,,,,,
"Scott, W.E., Sherrod, D.R., Gardner, C.A., 2008. Overview of the 2004 to 2006, and continuing, eruption of Mount St. Helens, Washington. A Volcano Rekindled: The Renewed Eruption of Mount St. Helens, 2004–2006. vol. 1750. US Geological Survey., pp. 3–22.",,,,,,,,,,,,,,,,,,,,,,,
"Self, S., Rampino, M., 2012. The 19631964 eruption of Agung volcano (Bali, Indonesia). Bull. Volcanol. 74 (6), 1521–1536. http://dx.doi.org/10.1007/s00445-012-0615-z.",,,,,,,,,,,,,,,,,,,,,,,
"SERNAGEOMIN, 2015. Informe de resumen crisis volcán Villarrica febrero-marzo 2015. Technical Report, Servicio Nacional de Geología y Minería.",,,,,,,,,,,,,,,,,,,,,,,
"Shcherbakov, V.D., Plechov, P.Y., Izbekov, P.E., Shipman, J.S., 2011. Plagioclase zoning as an indicator of magma processes at Bezymianny volcano, Kamchatka. Contrib. Mineral. Petrol. 162 (1), 83–99. http://dx.doi.org/10.1007/s00410-010-0584-1.",,,,,,,,,,,,,,,,,,,,,,,
"Shibata, T., Kinoshita, T., 2016. Volcanic aerosol layer formed in the tropical upper troposphere by the eruption of Mt. Merapi, Java, in November 2010 observed by the spaceborne lidar CALIOP. Atmos. Res. 168, 49–56. http://dx.doi.org/10.1016/j.atmosres.2015.09.002.",,,,,,,,,,,,,,,,,,,,,,,
"Solikhin, A., Thouret, J.-C., Liew, S.C., Gupta, A., Sayudi, D.S., Oehler, J.-F., Kassouk, Z., 2015. High-spatial-resolution imagery helps map deposits of the large (VEI 4) 2010 Merapi volcano eruption and their impact. Bull. Volcanol. 77 (3), 20. http://dx.doi.org/10.1007/s00445-015-0908-0.",,,,,,,,,,,,,,,,,,,,,,,
"Spilliaert, N., Allard, P., Métrich, N., Sobolev, A., 2006.Melt inclusion record of the conditions of ascent, degassing, and extrusion of volatile-rich alkali basalt during the powerful 2002 flank eruption of Mount Etna (Italy). J. Geophys. Res. Solid Earth 111 (B4). http://dx.doi.org/10.1029/2005JB003934.",,,,,,,,,,,,,,,,,,,,,,,
"Steffke, A., Fee, D., Garces, M., Harris, A., 2010. Eruption chronologies, plume heights and eruption styles at Tungurahua Volcano: integrating remote sensing techniques and infrasound. J. Volcanol. Geotherm. Res. 193 (3), 143–160.",,,,,,,,,,,,,,,,,,,,,,,
"Stelling, P., Beget, J., Nye, C., Gardner, J., Devine, J., George, R., 2002. Geology and petrology of ejecta from the 1999 eruption of Shishaldin Volcano, Alaska. Bull. Volcanol. 64 (8), 548–561. http://dx.doi.org/10.1007/s00445-002-0229-y.",,,,,,,,,,,,,,,,,,,,,,,
"Sulpizio, R., 2005. Three empirical methods for the calculation of distal volume of tephra-fall deposits. J. Volcanol. Geotherm. Res. 145 (3), 315–336. http://dx.doi.org/10.1016/j.jvolgeores.2005.03.001.",,,,,,,,,,,,,,,,,,,,,,,
"Surono, Jousset, P., Pallister, J., Boichu, M., Buongiorno, M.F., Budisantoso, A., Costa, F., Andreastuti, S., Prata, F., Schneider, D., Clarisse, L., et al. 2012. The 2010 explosive eruption of Java’s Merapi volcano—a 100-year event. J. Volcanol. Geotherm. Res. 241, 121–135. http://dx.doi.org/10.1016/j.jvolgeores.2012.06.018.",,,,,,,,,,,,,,,,,,,,,,,
"Survey, U.G., 2005. Mount St. Helens From the 1980 Eruption to 2000. U.S. Geological Survey Fact Sheet 036-00.",,,,,,,,,,,,,,,,,,,,,,,
"Suzuki, Y., Iguchi, M., Maeno, F., Nakada, S., Hashimoto, A., Shimbori, T., Ishii, K., 2014. 3D numerical simulations of volcanic plume and tephra dispersal: reconstruction of the 2014 Kelud eruption. AGU Fall meeting abstracts. vol. 1. pp. 02.. http://adsabs.harvard.edu/abs/2014AGUFM.V53E.02S.",,,,,,,,,,,,,,,,,,,,,,,
"Suzuki, Y., Yasuda, A., Hokanishi, N., Kaneko, T., Nakada, S., Fujii, T., 2013. Syneruptive deep magma transfer and shallow magma remobilization during the 2011 eruption of Shinmoe-dake, Japan-constraints from melt inclusions and phase equilibria experiments. J. Volcanol. Geotherm. Res. 257, 184–204. http://dx.doi.org/10.1016/j.jvolgeores.2013.03.017.",,,,,,,,,,,,,,,,,,,,,,,
"Thorarinsson, S., 1950. The eruption of Mt. Hekla 1947–1948. Bull. Volcanol. 10 (1), 157–168. http://dx.doi.org/10.1007/BF02596085.",,,,,,,,,,,,,,,,,,,,,,,
"Thorarinsson, S., Sigvaldason, G.E., 1972. The Hekla eruption of 1970. Bull. Volcanol. 36 (2), 269–288. http://dx.doi.org/10.1007/BF02596870.",,,,,,,,,,,,,,,,,,,,,,,
"Thordarson, T., Hayward, C., Hartley, M., Sigmarsson, O., Höskuldsson, Á., Larsen, G., 2011. The 14 April–22 May 2010 summit eruption at Eyjafjallajökull volcano, Iceland: volatile contents and magma degassing. Geophys. Res. Abstr. 13. EGU201112046.",,,,,,,,,,,,,,,,,,,,,,,
"Trusdell, F.A., Moore, R.B., Sako, M., White, R.A., Koyanagi, S.K., Chong, R., Camacho, J.T., 2005. The 2003 eruption of Anatahan volcano, Commonwealth of the Northern Mariana Islands: chronology, volcanology, and deformation. J. Volcanol. Geotherm. Res. 146 (1), 184–207. http://dx.doi.org/10.1016/j.jvolgeores.2004.12.010.",,,,,,,,,,,,,,,,,,,,,,,
"Underwood, S.J., Feeley, T.C., Clynne, M.A., 2013. Hydrogen isotope investigation of amphibole and glass in dacite magmas erupted in 1980–1986 and 2005 at Mount St. Helens, Washington. J. Petrol. 54 (6), 1047–1070. http://dx.doi.org/10.1093/petrology/egt005.",,,,,,,,,,,,,,,,,,,,,,,
"Unema, J., 2001. Water-Magma Interaction and Plume Processes in the 2008 Okmok Eruption. Master’s thesis.",,,,,,,,,,,,,,,,,,,,,,,
"Vernier, J.-P., Fairlie, T.D., Deshler, T., Natarajan, M., Knepp, T., Foster, K., Wienhold, F.G., Bedka, K.M., Thomason, L., Trepte, C., 2016. In situ and spacebased observations of the Kelud volcanic plume: the persistence of ash in the lower stratosphere. J. Geophys. Res. Atmos. 121 (18). http://dx.doi.org/10.1002/2016JD025344.",,,,,,,,,,,,,,,,,,,,,,,
"Vidal, L., Nesbitt, S., Salio, P., Osores, S., Farias, C., Rodriguez, A., Serra, J., Caranti, G., 2015. C-band dual-polarization observations of a massive volcanic eruption in South America. AMS, https://ams.confex.com/ams/37RADAR/webprogram/Handout/Paper276312/ID276312_AMSRadarConf2015_Vidal_et_al.pdf.",,,,,,,,,,,,,,,,,,,,,,,
"Voight, B., 1990. The 1985 Nevado del Ruiz volcano catastrophe: anatomy and retrospection. J. Volcanol. Geotherm. Res. 42 (1–2), 151–188. http://dx.doi.org/10.1016/0377-0273(90)90075-Q.",,,,,,,,,,,,,,,,,,,,,,,
"Wallace, K., Schaefer, J., Coombs, M., 2013. Character, mass, distribution, and origin of tephra-fall deposits from the 2009 eruption of Redoubt Volcano, Alaskahighlighting the significance of particle aggregation. J. Volcanol. Geotherm. Res. 259, 145–169. http://dx.doi.org/10.1016/j.jvolgeores.2012.09.015.",,,,,,,,,,,,,,,,,,,,,,,
"Wallace, K.L., Neal, C.A., McGimsey, R.G., 2006. Timing, distribution, and character of tephra fall from the 2005–2006 eruption of Augustine volcano. U.S. Geol. Surv. Prof. Pap. 187–217.",,,,,,,,,,,,,,,,,,,,,,,
"Watt, S.F., Pyle, D.M.,Mather, T.A.,Martin, R.S.,Matthews, N.E., 2009. Fallout and distribution of volcanic ash over Argentina following the May 2008 explosive eruption of Chaitén, Chile. J. Geophys. Res. Solid Earth 114 (B4). http://dx.doi.org/10.1029/2008JB006219.",,,,,,,,,,,,,,,,,,,,,,,
"Waythomas, C.F., Scott, W.E., Prejean, S.G., Schneider, D.J., Izbekov, P., Nye, C.J., 2010. The 7–8 August 2008 eruption of Kasatochi volcano, central Aleutian Islands, Alaska. J. Geophys. Res. Solid Earth 115 (B12). http://dx.doi.org/10.1029/2010JB007437.",,,,,,,,,,,,,,,,,,,,,,,
"Webster, J.D., Mandeville, C.W., Goldoff, B., Coombs, M.L., Tappen, C., 2006. Augustine volcano-the influence of volatile components in magmas erupted AD 2006 to 2,100 years before present. U.S. Geol. Surv. Prof. Pap. 383–423.",,,,,,,,,,,,,,,,,,,,,,,
"Williams, S., Self, S., 1983. The October 1902 plinian eruption of Santa Maria volcano, Guatemala. J. Volcanol. Geotherm. Res. 16 (1–2), 33–56. http://dx.doi.org/10.1016/0377-0273(83)90083-5.",,,,,,,,,,,,,,,,,,,,,,,
"Wright, R., Carn, S.A., Flynn, L.P., 2005. A satellite chronology of the May–June 2003 eruption of Anatahan volcano. J. Volcanol. Geotherm. Res. 146 (1), 102–116. http://dx.doi.org/10.1016/j.jvolgeores.2004.10.021.",,,,,,,,,,,,,,,,,,,,,,,
"Zen, M., Hadikusumo, D., 1964. Preliminary report on the 1963 eruption of Mt. Agung in Bali (Indonesia). Bull. Volcanol. 27 (1), 269–299. http://dx.doi.org/10.1007/BF02597526.",,,,,,,,,,,,,,,,,,,,,,,
